History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[(8, 7, False), 1, (10, 7, False), 1, (12, 7, False), 1, (15, 7, False), 1, (21, 7, False), 0, (21, 7, False)]","[0.09492, 0.20263, -0.01531, -0.08548, 0.91361]",0.5363707889991929,"[0.09468, 0.20258, -0.01532, -0.08548, 0.91361]",0.425815323003917,"[0.09111, 0.20139, -0.01579, -0.08548, 0.91361]",0.2630865149985766,"[0.06014, 0.1859, -0.02509, -0.08548, 0.91361]",0.14101232800021535,"[0.02221, 0.08524, -0.10562, -0.10562, 0.91361]",0.07980632600083482,"[0.02221, 0.08524, -0.10562, -0.10562, 0.91361]",0.08114220600691624,"[0.07676, 0.14544, -0.10562, -0.08115, 0.91361]",0.08538217199384235,"[0.10969, 0.14974, -0.05482, -0.0876, 0.91361]",0.10124618599365931,"[0.1092, 0.19629, -0.04309, -0.09199, 0.91361]",0.12867517900303937,0.9997256826655131,0.995488334564709,0.9554861018894099,0.8141617911327167,0.8141617911327167,0.8786784917048918,0.9243276842233568,0.963629983159201
"[(9, 10, False), 1, (12, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.00822, -0.00546, -0.05089, -0.42155, 0.84667]",0.16431849399668863,"[0.00783, -0.00554, -0.05089, -0.42155, 0.84667]",0.12470497000322212,"[0.00434, -0.00675, -0.05095, -0.42155, 0.84667]",0.09291883200057782,"[-0.01899, -0.01903, -0.05323, -0.42155, 0.84667]",0.07188082700304221,"[-0.08514, -0.08514, -0.08514, -0.42155, 0.84667]",0.06344423600239679,"[-0.08514, -0.08514, -0.08514, -0.42155, 0.84667]",0.06328718100121478,"[-0.09086, -0.02814, -0.06009, -0.42155, 0.84667]",0.06677871100691846,"[0.01978, -0.04078, -0.03504, -0.42155, 0.84667]",0.06780745300056878,"[-0.0599, -0.01639, -0.04638, -0.42155, 0.84667]",0.0716260070039425,0.9995548876546309,0.9954280611333921,0.9659044614355485,0.8575304659760551,0.8575304659760551,0.8858955040324878,0.954828680282728,0.9227007487099649
"[(15, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.10935, -0.00546, -0.03686, -0.07603, 0.84667]",0.28775325800233986,"[0.10805, -0.00554, -0.03686, -0.07603, 0.84667]",0.16671810200205073,"[0.09957, -0.00675, -0.03709, -0.07603, 0.84667]",0.10328740100521827,"[0.05711, -0.01903, -0.04183, -0.07603, 0.84667]",0.08335600500140572,"[-0.0436, -0.08514, -0.08514, -0.08514, 0.84667]",0.06214746900514001,"[-0.0436, -0.08514, -0.08514, -0.08514, 0.84667]",0.06270889500592602,"[0.0307, 0.00145, -0.06463, -0.08514, 0.84667]",0.06448652399558341,"[0.08365, -0.04074, -0.04714, -0.08514, 0.84667]",0.07018624299962539,"[0.12504, -0.01929, -0.03973, -0.07488, 0.84667]",0.07205872100166744,0.9985438063315616,0.9889679217733013,0.9394002537134024,0.7995113612944613,0.7995113612944613,0.9058741826064708,0.9488404591009654,0.9763619903545159
"[(4, 10, False), 1, (6, 10, False), 1, (15, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.03283, 0.01382, -0.05089, -0.07603, 0.84667]",0.8951787309997599,"[0.02857, 0.01206, -0.05089, -0.07603, 0.84667]",0.36521684199396987,"[0.00884, 0.00112, -0.05095, -0.07603, 0.84667]",0.15053488799458137,"[-0.04455, -0.04455, -0.05323, -0.07603, 0.84667]",0.08800377700390527,"[-0.08514, -0.08514, -0.08514, -0.08514, 0.84667]",0.06337173999781953,"[-0.08514, -0.08514, -0.08514, -0.08514, 0.84667]",0.06534953499794938,"[-0.09426, 0.03076, -0.08514, -0.06009, 0.84667]",0.06719778799742926,"[-0.04576, 0.00719, -0.02439, -0.05477, 0.84667]",0.07643018399539869,"[0.02224, -0.01594, -0.07725, -0.07262, 0.84667]",0.09831334599584807,0.9948467000863525,0.9696517360463568,0.8916014477725832,0.8233433517384642,0.8233433517384642,0.8505594691859,0.9039883952326595,0.9538442392544549
"[(7, 10, False), 1, (14, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.00309, -0.03686, -0.05089, -0.06393, 0.84667]",0.2630224940003245,"[0.00195, -0.03686, -0.05089, -0.06393, 0.84667]",0.16282957600196823,"[-0.006, -0.03709, -0.05095, -0.06393, 0.84667]",0.10252086199761834,"[-0.04774, -0.04183, -0.05323, -0.06463, 0.84667]",0.07552735699573532,"[-0.08514, -0.08514, -0.08514, -0.08514, 0.84667]",0.0631389920017682,"[-0.08514, -0.08514, -0.08514, -0.08514, 0.84667]",0.06509980600094423,"[-0.07725, -0.03958, -0.06463, -0.06009, 0.84667]",0.0649888479965739,"[-0.0605, -0.04923, -0.06844, -0.07751, 0.84667]",0.06871274399600225,"[-0.08161, -0.07071, -0.07248, -0.07262, 0.84667]",0.0794310810015304,0.9987254412528251,0.9898335969979545,0.9428340639016556,0.8788677484110858,0.8788677484110858,0.9087212565818306,0.9234401875981922,0.8947529293756828
"[(6, 7, False), 1, (11, 7, False), 1, (12, 7, False), 1, (13, 7, False), 1, (20, 7, False), 0, (20, 7, False)]","[0.01132, 0.2226, -0.01531, -0.04045, 0.75676]",0.9888153310021153,"[0.01048, 0.22256, -0.01532, -0.04045, 0.75676]",0.6665364080035943,"[0.00155, 0.22136, -0.01579, -0.04057, 0.75676]",0.35594400099944323,"[-0.04522, 0.20588, -0.02509, -0.04522, 0.75676]",0.1555233299950487,"[-0.10562, 0.10522, -0.10562, -0.10562, 0.75676]",0.08076562799396925,"[-0.10562, 0.10522, -0.10562, -0.10562, 0.75676]",0.08155505199829349,"[-0.09311, 0.14334, -0.10562, -0.08115, 0.75676]",0.086921693997283,"[-0.04452, 0.17687, -0.04466, -0.06009, 0.75676]",0.10624003900011303,"[-0.02224, 0.20789, -0.02751, -0.06894, 0.75676]",0.15496162499766797,0.9990597207861491,0.9889752947885215,0.9329670668626234,0.7767959089756642,0.7767959089756642,0.8162877297238967,0.910163408067759,0.9463439448896958
"[(6, 7, False), 1, (8, 7, False), 1, (15, 7, False), 1, (16, 7, False), 1, (21, 7, False), 0, (21, 7, False)]","[0.01132, 0.09492, -0.08548, -0.10562, 0.91361]",1.1061148379958468,"[0.01048, 0.09468, -0.08548, -0.10562, 0.91361]",0.7002170859996113,"[0.00155, 0.09111, -0.08548, -0.10562, 0.91361]",0.33890625200001523,"[-0.04522, 0.06014, -0.08548, -0.10562, 0.91361]",0.13696798899763962,"[-0.10562, 0.02221, -0.10562, -0.10562, 0.91361]",0.07710541299456963,"[-0.10562, 0.02221, -0.10562, -0.10562, 0.91361]",0.078373124000791,"[-0.13329, 0.05564, -0.10562, -0.10562, 0.91361]",0.08745823199569713,"[-0.00655, 0.08292, -0.07838, -0.10562, 0.91361]",0.10557946799963247,"[-0.05811, 0.07713, -0.09338, -0.10562, 0.91361]",0.15024789900053293,0.999023270764234,0.9882756130224221,0.9257839303115558,0.8444070723811651,0.8444070723811651,0.8309564031824926,0.9746586577900854,0.9193819266541304
"[(13, 10, True), 1, (14, 10, True), 1, (13, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.14115, 0.12503, -0.02174, -0.07603, 0.84667]",0.7940300769987516,"[0.1376, 0.12283, -0.02177, -0.07603, 0.84667]",0.30604546499671414,"[0.12118, 0.11069, -0.02236, -0.07603, 0.84667]",0.13227844899665797,"[0.0635, 0.0603, -0.03043, -0.07603, 0.84667]",0.07704929699684726,"[-0.0436, -0.0436, -0.08514, -0.08514, 0.84667]",0.0637628750046133,"[-0.0436, -0.0436, -0.08514, -0.08514, 0.84667]",0.06378076900000451,"[-0.00438, 0.11994, -0.08514, -0.08514, 0.84667]",0.06813003999559442,"[0.13443, 0.12048, -0.06368, -0.08514, 0.84667]",0.07531826500053285,"[0.13268, 0.10207, -0.01636, -0.08514, 0.84667]",0.09175212999980431,0.995330497885213,0.9725040707558373,0.8865594235954347,0.7113150690198742,0.7113150690198742,0.8221396576664713,0.9511658853873647,0.9701914651483841
"[(5, 10, False), 1, (8, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.02325, 0.08042, -0.07603, -0.42155, 0.84667]",0.5648722969999653,"[0.02046, 0.07983, -0.07603, -0.42155, 0.84667]",0.26514339000277687,"[0.0053, 0.075, -0.07603, -0.42155, 0.84667]",0.12954263900610385,"[-0.04455, 0.04571, -0.07603, -0.42155, 0.84667]",0.07658452299801866,"[-0.08514, 0.04563, -0.08514, -0.42155, 0.84667]",0.06522303800011287,"[-0.08514, 0.04563, -0.08514, -0.42155, 0.84667]",0.06241793799563311,"[-0.10131, 0.0549, -0.06463, -0.42155, 0.84667]",0.06774627899721963,"[0.01183, 0.09827, -0.08514, -0.42155, 0.84667]",0.07199759599461686,"[-0.03655, 0.06512, -0.08514, -0.42155, 0.84667]",0.08575403100257972,0.9968117010805133,0.9790363737631106,0.9148411477003124,0.8723200862508124,0.8723200862508124,0.8572746343497415,0.9742116547642157,0.9302403940306426
"[(4, 2, False), 1, (15, 2, True), 1, (17, 2, True), 1, (12, 2, False), 1, (21, 2, False), 0, (21, 2, False)]","[-0.07436, -0.01277, -0.04814, -0.12437, 0.8899]",50.67075616000511,"[-0.07795, -0.01339, -0.04827, -0.12441, 0.8899]",21.02845184799662,"[-0.10027, -0.01998, -0.05029, -0.12543, 0.8899]",7.146606688998872,"[-0.17288, -0.07007, -0.07007, -0.13861, 0.8899]",1.5614574849969358,"[-0.22429, -0.22429, -0.22429, -0.22429, 0.8899]",0.31695860699983314,"[-0.22429, -0.22429, -0.22429, -0.22429, 0.8899]",0.31476927399489796,"[-0.1292, -0.10656, -0.17771, -0.13206, 0.8899]",0.6569398189967615,"[-0.10489, -0.02673, -0.15046, -0.16533, 0.8899]",1.0992674130029627,"[-0.10025, -0.03053, 0.00905, -0.15646, 0.8899]",2.321890892999363,0.9959240031894027,0.9698118752652637,0.869265618045596,0.6321811855682203,0.6321811855682203,0.8107531020729798,0.8711877990056842,0.9187121326703671
