History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[(6, 10, False), 1, (8, 10, False), 1, (14, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (27, 10, False)]","[-0.07285, -0.17462, -0.0096, 0.02387, 0.19216]",0.45836670700009563,"[-0.07067, -0.17388, -0.0096, 0.02387, 0.19216]",0.2530237680002756,"[-0.05723, -0.16796, -0.00932, 0.02387, 0.19216]",0.14230619000045408,"[-0.00082, -0.1319, -0.00354, 0.02471, 0.19216]",0.083715922999545,"[0.04976, -0.12819, 0.04976, 0.04976, 0.20309]",0.07617123900035949,"[0.04976, -0.12819, 0.04976, 0.04976, 0.20309]",0.07865175300048577,"[0.08687, -0.13468, 0.02017, 0.04976, 0.20309]",0.07830521300002147,"[-0.07865, -0.14283, 0.02417, 0.04547, 0.18639]",0.08171555000080843,"[-0.04504, -0.13166, 0.01731, 0.04177, 0.19056]",0.09912556200015388,0.9974260924647532,0.9810125567808617,0.9061200999947273,0.8360551784898346,0.8360551784898346,0.8103236575769134,0.9420721364540345,0.9323051349805614
"[(5, 8, False), 1, (7, 8, False), 1, (11, 8, False), 1, (12, 8, False), 1, (17, 8, False), 1, (27, 8, False)]","[-0.105, -0.07345, -0.32179, -0.06148, 0.23293]",1.720307275999403,"[-0.10204, -0.07233, -0.32165, -0.06143, 0.23293]",0.8652672620000885,"[-0.0815, -0.06195, -0.31923, -0.06022, 0.23293]",0.3660385769999266,"[-0.00374, -0.00374, -0.2957, -0.04453, 0.23293]",0.14319720099956612,"[0.05746, 0.05746, -0.17331, 0.05746, 0.23293]",0.08232009399944218,"[0.05746, 0.05746, -0.17331, 0.05746, 0.23293]",0.07897612099986873,"[-0.1023, 0.03347, -0.23321, 0.02615, 0.23293]",0.09362340999996377,"[-0.05217, -0.02107, -0.27263, -0.05873, 0.23293]",0.12054945399995631,"[-0.04315, -0.05255, -0.31189, -0.0172, 0.23293]",0.1621541349995823,0.9964577373050548,0.970575494906456,0.8582208482357155,0.6843187650097016,0.6843187650097016,0.8164087090164678,0.9002569463571523,0.9111112992276296
"[(9, 10, False), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (29, 10, False)]","[-0.0671, -0.04842, -0.0096, 0.19216, 0.55129]",0.1900910450003721,"[-0.06662, -0.04833, -0.0096, 0.19216, 0.55129]",0.1532164569998713,"[-0.06233, -0.04685, -0.00932, 0.19216, 0.55129]",0.11985655399985262,"[-0.03364, -0.03178, -0.00354, 0.19216, 0.55129]",0.08822663499995542,"[0.04976, 0.04976, 0.04976, 0.20309, 0.55129]",0.07770703000005597,"[0.04976, 0.04976, 0.04976, 0.20309, 0.55129]",0.07327322200035269,"[-0.0459, -0.04584, 0.03378, 0.20309, 0.55129]",0.07416501599982439,"[-0.08521, -0.02159, 0.0151, 0.18639, 0.55129]",0.07747744900007092,"[-0.1034, -0.04517, -0.00106, 0.20309, 0.55129]",0.08684622600048897,0.999453991758304,0.9943768114027716,0.957674109578179,0.8164971168482631,0.8164971168482631,0.9445767907370928,0.9540216912555497,0.9564017058819958
"[(9, 10, False), 1, (11, 10, False), 1, (12, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (24, 10, False)]","[-0.0671, -0.30088, -0.04842, 0.19216, 0.55129]",0.22947813599967049,"[-0.06662, -0.30065, -0.04833, 0.19216, 0.55129]",0.17295478799951525,"[-0.06233, -0.29801, -0.04685, 0.19216, 0.55129]",0.1204598550002629,"[-0.03364, -0.27667, -0.03178, 0.19216, 0.55129]",0.08460481099973549,"[0.04976, -0.18101, 0.04976, 0.20309, 0.55129]",0.0718212889996721,"[0.04976, -0.18101, 0.04976, 0.20309, 0.55129]",0.07423957499941025,"[0.06828, -0.24305, -0.03446, 0.20309, 0.55129]",0.08311895299993921,"[-0.06223, -0.23456, -0.0325, 0.16666, 0.55129]",0.08575834399925952,"[-0.06757, -0.31443, -0.02763, 0.18829, 0.55129]",0.08926358099961362,0.9993964687249197,0.9935332871565222,0.9502181596864882,0.7826757785013368,0.7826757785013368,0.8342200260887944,0.9184083666973138,0.9719147636648718
"[(7, 10, False), 1, (9, 10, False), 1, (13, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (29, 10, False)]","[-0.05941, -0.0671, -0.02829, 0.19216, 0.55129]",0.37826795000000857,"[-0.058, -0.06662, -0.02826, 0.19216, 0.55129]",0.22602275400004146,"[-0.04822, -0.06233, -0.02754, 0.19216, 0.55129]",0.137648631999582,"[0.00329, -0.03364, -0.01766, 0.19216, 0.55129]",0.08547844900022028,"[0.04976, 0.04976, 0.04976, 0.20309, 0.55129]",0.07154803599951265,"[0.04976, 0.04976, 0.04976, 0.20309, 0.55129]",0.07208832899959816,"[0.06998, -0.00327, -0.03223, 0.20309, 0.55129]",0.07034525000017311,"[-0.07842, -0.06786, -0.00941, 0.18336, 0.55129]",0.07406154199998127,"[0.01029, -0.07323, -0.00196, 0.20309, 0.55129]",0.08422066999992239,0.9983343920029011,0.986374128468241,0.9196580861256094,0.8006710761705668,0.8006710761705668,0.8381705006032584,0.9684593100107179,0.9155281060056069
"[(13, 8, True), 1, (14, 8, True), 1, (18, 8, True), 1, (13, 8, False), 1, (16, 8, False), 1, (25, 8, False)]","[-0.22701, -0.20589, 0.10449, -0.03404, 0.03706]",2.08645270299985,"[-0.22311, -0.20357, 0.10463, -0.03403, 0.03706]",0.82107432399971,"[-0.19952, -0.1869, 0.10705, -0.03355, 0.03706]",0.31049621800048044,"[-0.10666, -0.10666, 0.13058, -0.02413, 0.03706]",0.12379937000059726,"[0.05746, 0.05746, 0.25297, 0.05746, 0.05746]",0.07520042699979967,"[0.05746, 0.05746, 0.25297, 0.05746, 0.05746]",0.07681107900043571,"[-0.10929, -0.07016, 0.18353, 0.04979, 0.03753]",0.09511962699980359,"[-0.1106, -0.0639, 0.17665, -0.06865, 0.05746]",0.12543646200083458,"[-0.16297, -0.11322, 0.19885, -0.02467, 0.0449]",0.18390204400020593,0.9949240641257006,0.9625314481865125,0.8228361930302919,0.5241965692116124,0.5241965692116124,0.7613694207043029,0.7749068917647632,0.8351442956704258
"[(12, 10, True), 1, (14, 10, True), 1, (12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (22, 10, False)]","[-0.24855, -0.20834, -0.04842, 0.00775, 0.02387]",0.9785492109995175,"[-0.24183, -0.2056, -0.04833, 0.00775, 0.02387]",0.35001512700000603,"[-0.21583, -0.19074, -0.04685, 0.00782, 0.02387]",0.15648912799952086,"[-0.13746, -0.12926, -0.03178, 0.01059, 0.02471]",0.09737040900017746,"[-0.00358, -0.00358, 0.04976, 0.04976, 0.04976]",0.07634717900054966,"[-0.00358, -0.00358, 0.04976, 0.04976, 0.04976]",0.07189059800020914,"[-0.16208, -0.17733, 0.04012, 0.00419, 0.04976]",0.07793673100059095,"[-0.13204, -0.06326, 0.014, 0.01938, 0.01031]",0.09002409700042335,"[-0.20285, -0.18179, -0.02538, -0.00882, 0.03439]",0.10790663599982508,0.9918856531378059,0.9584243430599106,0.8463758836477814,0.6224893989899092,0.6224893989899092,0.8543936029049548,0.7796645358776758,0.9319056775494462
"[(8, 10, False), 1, (11, 10, False), 1, (13, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (24, 10, False)]","[-0.17462, -0.30088, -0.02829, 0.19216, 0.55129]",0.2684711080000852,"[-0.17388, -0.30065, -0.02826, 0.19216, 0.55129]",0.16265829100029805,"[-0.16796, -0.29801, -0.02754, 0.19216, 0.55129]",0.11129278799944586,"[-0.1319, -0.27667, -0.01766, 0.19216, 0.55129]",0.08185306799987302,"[-0.12819, -0.18101, 0.04976, 0.20309, 0.55129]",0.06920330699995247,"[-0.12819, -0.18101, 0.04976, 0.20309, 0.55129]",0.07595173700065061,"[-0.12073, -0.23801, -0.03446, 0.20309, 0.55129]",0.07636113500029751,"[-0.2201, -0.30717, -0.01402, 0.20309, 0.55129]",0.07908339200002956,"[-0.13595, -0.28252, -0.01372, 0.20309, 0.55129]",0.0817509369999243,0.9991329648219363,0.9918486964232707,0.943829284765102,0.831418309119881,0.831418309119881,0.9063630494943369,0.94487409524552,0.9479878824214972
"[(12, 8, True), 1, (13, 8, True), 1, (16, 8, True), 1, (14, 8, False), 1, (16, 8, False), 1, (23, 8, False)]","[-0.24828, -0.22701, -0.16442, -0.00856, 0.03706]",3.031277787000363,"[-0.24209, -0.22311, -0.1637, -0.00856, 0.03706]",1.0429217049995714,"[-0.21058, -0.19952, -0.15694, -0.00844, 0.03706]",0.34393251500023325,"[-0.10666, -0.10666, -0.10666, -0.00374, 0.03706]",0.12082240499967156,"[0.05746, 0.05746, 0.05746, 0.05746, 0.05746]",0.07588300900079048,"[0.05746, 0.05746, 0.05746, 0.05746, 0.05746]",0.09193576399957237,"[-0.07516, -0.17165, -0.12828, 0.04779, 0.05746]",0.09268781499940815,"[-0.09707, -0.13398, -0.10439, -0.01461, 0.03922]",0.11041047199978493,"[-0.15877, -0.16985, -0.09653, -0.01718, 0.03122]",0.18709250999927463,0.9917807771048596,0.9471682517325046,0.7823425946010566,0.4656713753456586,0.4656713753456586,0.7822477149947675,0.7903457787212478,0.8585929289250357
"[(4, 10, False), 1, (15, 10, True), 1, (16, 10, True), 1, (14, 10, False), 1, (19, 10, False), 1, (25, 10, False)]","[-0.09646, -0.18904, -0.17029, -0.0096, 0.55129]",0.9629553570002827,"[-0.09116, -0.18743, -0.16938, -0.0096, 0.55129]",0.40774072099975456,"[-0.06691, -0.17704, -0.16257, -0.00932, 0.55129]",0.17362663699987024,"[-0.00082, -0.12516, -0.12105, -0.00354, 0.55129]",0.08687312600068253,"[0.04976, -0.00358, -0.00358, 0.04976, 0.55129]",0.07174940400000196,"[0.04976, -0.00358, -0.00358, 0.04976, 0.55129]",0.07106954800019594,"[0.03696, -0.00136, -0.10614, 0.03378, 0.55129]",0.07796346099985385,"[-0.03667, -0.1209, -0.06906, 0.01333, 0.55129]",0.08034124200003134,"[-0.05856, -0.07354, -0.12928, 0.01133, 0.55129]",0.10254116900068766,0.9937240339389063,0.9633107764459371,0.8599599825049997,0.6700539178517193,0.6700539178517193,0.7283804920021391,0.8459253366870464,0.8546704391735804
